cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version
35014,Oudenburg,Oudenburg,35000,Arrondissement d'Ostende,Arrondissement Oostende,35,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36006,Hooglede,Hooglede,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36007,Ingelmunster,Ingelmunster,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36008,Izegem,Izegem,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36010,Ledegem,Ledegem,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36011,Lichtervelde,Lichtervelde,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36012,Moorslede,Moorslede,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36015,Roulers,Roeselare,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
36019,Staden,Staden,36000,Arrondissement de Roulers,Arrondissement Roeselare,36,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
37020,Ardooie,Ardooie,37000,Arrondissement de Tielt,Arrondissement Tielt,37,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
